abrt-addon-ccpp            	-rwsr-sr-x	abrt      	abrt      	/usr/libexec/abrt-action-install-debuginfo-to-abrt-cache
amanda-client              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/application/amgtar
amanda-client              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/application/amstar
amanda-client              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/calcsize
amanda-client              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/killpgrp
amanda-client              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/rundump
amanda-client              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/runtar
amanda                     	drwx--S---	amandabackup	disk      	/var/log/amanda
amanda-server              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/dumper
amanda-server              	-rwsr-x---	root      	disk      	/usr/lib64/amanda/planner
amanda-server              	-rwsr-x---	root      	disk      	/usr/sbin/amcheck
amanda-server              	-rwsr-x---	root      	disk      	/usr/sbin/amservice
asylum                     	-rwxr-sr-x	root      	games     	/usr/bin/asylum
atomix                     	-rwxr-sr-x	games     	games     	/usr/bin/atomix
at                         	-rwsr-xr-x	root      	root      	/usr/bin/at
BackupPC                   	-rwsr-x---	backuppc  	apache    	/usr/share/BackupPC/sbin/BackupPC_Admin
bsd-games                  	-rwxr-sr-x	root      	gamehack  	/usr/bin/hack
bsd-games                  	-rwxr-sr-x	root      	gamephant 	/usr/bin/phantasia
bsd-games                  	-rwxr-sr-x	root      	gamesail  	/usr/bin/sail
bsd-games                  	-rwxr-sr-x	root      	games     	/usr/bin/atc
bsd-games                  	-rwxr-sr-x	root      	games     	/usr/bin/battlestar
bsd-games                  	-rwxr-sr-x	root      	games     	/usr/bin/bsd-fbg
bsd-games                  	-rwxr-sr-x	root      	games     	/usr/bin/canfield
bsd-games                  	-rwxr-sr-x	root      	games     	/usr/bin/cribbage
bsd-games                  	-rwxr-sr-x	root      	games     	/usr/bin/robots
bsd-games                  	-rwxr-sr-x	root      	games     	/usr/bin/snake
ccache                     	drwxrws---	root      	ccache    	/var/cache/ccache
condor                     	-rwsr-sr-x	root      	root      	/usr/sbin/condor_root_switchboard
cpm                        	-rwsr-xr-x	root      	root      	/usr/bin/cpm
crack                      	drwxrws---	root      	crack     	/var/lib/crack/run
crack                      	drwxrws---	root      	crack     	/var/lib/crack/run/dict
cronie                     	-rwsr-xr-x	root      	root      	/usr/bin/crontab
davfs2                     	-rwsr-xr-x	root      	root      	/usr/sbin/mount.davfs
dbus                       	-rwsr-x---	root      	dbus      	/lib64/dbus-1/dbus-daemon-launch-helper
dchroot                    	-rwsr-xr-x	root      	root      	/usr/bin/dchroot
dd2                        	-rwxr-sr-x	root      	games     	/usr/bin/dd2
dopewars                   	-rwxr-sr-x	root      	games     	/usr/bin/dopewars
dspam                      	-r-x--s--x	dspam     	mail      	/usr/bin/dspam
ecryptfs-utils             	-rwsr-x---	root      	ecryptfs  	/sbin/mount.ecryptfs_private
ejabberd                   	-rwsr-x---	root      	ejabberd  	/usr/lib64/ejabberd/priv/bin/epam
eucalyptus                 	-rwsr-x---	root      	eucalyptus	/usr/libexec/eucalyptus/euca_mountwrap
eucalyptus                 	-rwsr-x---	root      	eucalyptus	/usr/libexec/eucalyptus/euca_rootwrap
exim                       	-rwsr-xr-x	root      	root      	/usr/sbin/exim
fuse                       	-rwsr-xr-x	root      	root      	/usr/bin/fusermount
